data,tour,nível,torneio,local,superfície,rodada,jogador_a,jogador_b,placar,vencedor,obs
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Nicolas VILLALON VALDES (CHI) [1],Mateo CARBALLO (ARG),7-6(3) 6-4,Nicolas VILLALON VALDES (CHI) [1],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Franco Ariel VAZQUEZ (ARG),Hernando Jose ESCURRA ISNARDI (PAR) [9],6-1 7-5,Franco Ariel VAZQUEZ (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Valentin BASEL (ARG) [2],Manuel MOUILLERON SALVO (ARG),6-2 6-1,Valentin BASEL (ARG) [2],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Gonzalo ABREGU (ARG),Alejandro BANCALARI (CHI),6-4 6-3,Gonzalo ABREGU (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Benjamin Ignacio TORRES FERNANDEZ (CHI) [16],Tomas MARTINEZ (ARG) [3],6-4 7-6(6),Benjamin Ignacio TORRES FERNANDEZ (CHI) [16],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Benjamin CHELIA (ARG) (WC),Juan Ignacio ZAMORA (ARG),6-1 4-6 10-5,Benjamin CHELIA (ARG) (WC),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Mateo DEL PINO (ARG) [10],Nicolas BRUNA (CHI) [4],6-1 6-2,Mateo DEL PINO (ARG) [10],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Valentino GRIPPO (ARG),Tobia GRANDINETTI (ARG) (WC),6-3 6-4,Valentino GRIPPO (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Felipe DREER (ARG) [13],Bruno FERNANDEZ (BRA) [5],6-3 6-2,Felipe DREER (ARG) [13],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,SANTIAGO PESINO (ARG) (WC),Joel Angel LUCERO (ARG),6-2 6-4,SANTIAGO PESINO (ARG) (WC),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Felipe DE DIOS (ARG) [15],Julian CUNDOM (ARG) [6],6-4 4-6 13-11,Felipe DE DIOS (ARG) [15],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Francisco Tomas GESCHWIND (ARG) (WC),Agustin LIBRE (ARG),4-6 6-2 12-10,Agustin LIBRE (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Joao Vitor SCRAMIN DO LAGO (BRA) [14],Enzo LIMA (BRA) [7],1-6 7-6(10) 6-1,Enzo LIMA (BRA) [7],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Nicolas HOLLENDER (ARG),Mateo BERTA (ARG),7-5 6-4,Nicolas HOLLENDER (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Ezequiel SIMONT (ARG) [11],Rocco VALENTE (ARG) [8],6-2 6-0,Ezequiel SIMONT (ARG) [11],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR1,Juan Ignacio CENTURION DEL VALLE (ARG) (WC),Gabriel SCHENEKENBERG (BRA),7-6(4) 6-4,Juan Ignacio CENTURION DEL VALLE (ARG) (WC),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Mateo CARBALLO (ARG),Hernando Jose ESCURRA ISNARDI (PAR) [9],6-1 7-5,Mateo CARBALLO (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Valentin BASEL (ARG) [2],Alejandro BANCALARI (CHI),6-4 6-3,Valentin BASEL (ARG) [2],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Tomas MARTINEZ (ARG) [3],Mateo DEL PINO (ARG) [10],6-1 4-6 10-5,Tomas MARTINEZ (ARG) [3],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Nicolas BRUNA (CHI) [4],Felipe DREER (ARG) [13],7-5 6-4,Nicolas BRUNA (CHI) [4],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Bruno FERNANDEZ (BRA) [5],Felipe DE DIOS (ARG) [15],7-5 6-2,Bruno FERNANDEZ (BRA) [5],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Julian CUNDOM (ARG) [6],Agustin LIBRE (ARG),6-1 6-2,Julian CUNDOM (ARG) [6],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Enzo LIMA (BRA) [7],Ezequiel SIMONT (ARG) [11],7-6(8) 6-2,Enzo LIMA (BRA) [7],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QR2,Tadeo MENEO (ARG) [12],Rocco VALENTE (ARG) [8],6(1)-7 6-3 10-6,Tadeo MENEO (ARG) [12],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,Q,Mateo CARBALLO (ARG),Valentin BASEL (ARG) [2],6-1 7-5,Mateo CARBALLO (ARG),Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,Q,Mateo DEL PINO (ARG) [10],Nicolas BRUNA (CHI) [4],6-1 4-6 10-5,Mateo DEL PINO (ARG) [10],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,Q,Bruno FERNANDEZ (BRA) [5],Julian CUNDOM (ARG) [6],7-5 6-2,Bruno FERNANDEZ (BRA) [5],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,Q,Enzo LIMA (BRA) [7],Tadeo MENEO (ARG) [12],7-6(8) 6-2,Enzo LIMA (BRA) [7],Qualifying
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Daniel VALLEJO (PAR) [1],Leonardo ABOIAN (ARG),3-6 6-1 6-0,Leonardo ABOIAN (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Enzo LIMA (BRA) (Q),Mateo DEL PINO (ARG) (Q),6-1 7-5,Enzo LIMA (BRA) (Q),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Bruno FERNANDEZ (BRA) (Q),Alberto Odiseo ALVARADO BERROSPI (PER) (WC),6-3 6-3,Bruno FERNANDEZ (BRA) (Q),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Fernando CAVALLO (ARG) (WC),LUCIANO EMANUEL AMBROGI (ARG) [7],7-5 1-6 6-3,Fernando CAVALLO (ARG) (WC),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Juan Pablo VARILLAS (PER) [4],Lucca GUERCIO (ARG) (WC),6-3 6-1,Juan Pablo VARILLAS (PER) [4],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Carlos Maria ZARATE (ARG),Mateo CARBALLO (ARG) (Q),6-0 7-5,Carlos Maria ZARATE (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Santiago DE LA FUENTE (ARG),Lorenzo Joaquin RODRIGUEZ (ARG),6-1 6-1,Santiago DE LA FUENTE (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Franco RIBERO (ARG),Daniel DUTRA DA SILVA (BRA) [5],6-3 6-4,Franco RIBERO (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Pedro SAKAMOTO (BRA) [8],Julian CUNDOM (ARG) (Q),6-2 6-3,Pedro SAKAMOTO (BRA) [8],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Facundo JUAREZ (ITA),Lucio RATTI (ARG),6-1 6-2,Facundo JUAREZ (ITA),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Nicolas GARCIA LONGO (ARG) (WC),Lautaro Agustin FALABELLA (ARG),7-6(3) 6-1,Nicolas GARCIA LONGO (ARG) (WC),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Wilson LEITE (BRA),Nicolas KICKER (ARG) [3],6-3 2-6 6-4,Wilson LEITE (BRA),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Guido Ivan JUSTO (ARG) [6],Nicolas BRUNA (CHI) (Q),6-0 6-4,Guido Ivan JUSTO (ARG) [6],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Hernan CASANOVA (ARG),Tadeo MENEO (ARG) (Q),6-2 6-1,Hernan CASANOVA (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Valentin BASEL (ARG) (Q),Bautista VILICICH (ARG),6-4 6-3,Valentin BASEL (ARG) (Q),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,1R,Thiago CIGARRAN (ARG),Lautaro MIDON (ARG) [2],6-2 6-1,Thiago CIGARRAN (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Daniel VALLEJO (PAR) [1],Mateo DEL PINO (ARG) (Q),6-2 6-1,Daniel VALLEJO (PAR) [1],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Bruno FERNANDEZ (BRA) (Q),Fernando CAVALLO (ARG) (WC),6-2 1-0,Bruno FERNANDEZ (BRA) (Q),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Juan Pablo VARILLAS (PER) [4],Carlos Maria ZARATE (ARG),6-4 6-4,Juan Pablo VARILLAS (PER) [4],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Lorenzo Joaquin RODRIGUEZ (ARG),Daniel DUTRA DA SILVA (BRA) [5],7-6(4) 7-6(2),Lorenzo Joaquin RODRIGUEZ (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Pedro SAKAMOTO (BRA) [8],Facundo JUAREZ (ITA),6-3 6-2,Pedro SAKAMOTO (BRA) [8],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Lautaro Agustin FALABELLA (ARG),Nicolas KICKER (ARG) [3],6-2 6-0,Lautaro Agustin FALABELLA (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Guido Ivan JUSTO (ARG) [6],Hernan CASANOVA (ARG),6-4 1-6 6-4,Guido Ivan JUSTO (ARG) [6],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,2R,Bautista VILICICH (ARG),Lautaro MIDON (ARG) [2],6-3 6-4,Bautista VILICICH (ARG),Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QF,Daniel VALLEJO (PAR) [1],Fernando CAVALLO (ARG) (WC),6-1 6-2,Daniel VALLEJO (PAR) [1],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QF,Juan Pablo VARILLAS (PER) [4],Daniel DUTRA DA SILVA (BRA) [5],6-1 6-3,Juan Pablo VARILLAS (PER) [4],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QF,Pedro SAKAMOTO (BRA) [8],Nicolas KICKER (ARG) [3],6-2 6-0,Pedro SAKAMOTO (BRA) [8],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,QF,Guido Ivan JUSTO (ARG) [6],Lautaro MIDON (ARG) [2],2-6 6-2 6-3,Lautaro MIDON (ARG) [2],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,SF,Daniel VALLEJO (PAR) [1],Juan Pablo VARILLAS (PER) [4],6-1 7-6(2),Daniel VALLEJO (PAR) [1],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,SF,Nicolas KICKER (ARG) [3],Lautaro MIDON (ARG) [2],7-5 7-5,Nicolas KICKER (ARG) [3],Main
2025-09-01,ITF,M25,Mar del Plata,"Mar del Plata, Argentina",Terra,F,Daniel VALLEJO (PAR) [1],Lautaro MIDON (ARG) [2],7-6(4) 6-3,Daniel VALLEJO (PAR) [1],Main
